timestamp,open,high,low,close,volume
1756100400000,112456.28,112459.54,112399.99,112399.99,0.06332
1756100700000,112457.13,112621.27,112439.36,112439.37,3.29613
1756101000000,112439.36,112465.98,112368.75,112378.77,3.4597
1756101300000,112378.76,112423.6,112319.1,112343.62,2.47341
1756101600000,112343.63,112407.99,112315.99,112315.99,0.25293
1756101900000,112322.34,112390.01,112288.0,112299.68,0.48598
1756102200000,112288.59,112351.75,112246.58,112261.45,2.44252
1756102500000,112261.45,112355.26,112181.31,112355.26,3.30941
1756102800000,112358.78,112452.28,112251.6,112403.77,0.88796
1756103100000,112403.76,112403.76,112228.98,112249.73,2.16082
1756103400000,112249.74,112322.78,112127.99,112149.99,0.71823
1756103700000,112150.0,112150.0,112061.93,112089.99,1.68256
1756104000000,112061.92,112096.0,112042.79,112052.43,0.14393
1756104300000,112052.42,112066.73,111820.22,111860.78,0.33768
1756104600000,111855.33,111907.93,111765.74,111873.68,2.41197
1756104900000,111873.67,112030.36,111873.67,111929.87,1.69296
1756105200000,111929.87,112030.01,111879.0,111954.56,0.33623
1756105500000,111954.55,112032.28,111870.34,111895.19,0.86277
1756105800000,111872.01,112065.91,111814.0,112053.32,0.75406
1756106100000,112053.33,112149.62,112004.78,112056.02,0.28823
1756106400000,112023.88,112057.75,111892.38,111958.12,0.2418
1756106700000,111958.13,111965.99,111900.01,111913.28,0.79394
1756107000000,111903.09,111949.54,111701.57,111741.57,0.51329
1756107300000,111741.57,111792.0,111473.55,111769.63,3.39089
1756107600000,111760.01,111928.5,111760.01,111875.99,0.88158
1756107900000,111854.01,111868.81,111498.0,111582.0,1.96512
1756108200000,111582.01,111703.61,111460.94,111460.94,1.24225
1756108500000,111362.86,111588.01,111362.85,111560.01,0.32022
1756108800000,111517.06,111548.23,111315.17,111315.17,1.5451
1756109100000,111315.18,111315.18,111070.01,111212.25,3.43065
1756109400000,111188.9,111610.42,111188.9,111610.42,2.15605
1756109700000,111615.07,111761.19,111615.07,111761.19,0.28877
1756110000000,111786.77,111786.78,111685.24,111724.74,0.32437
1756110300000,111632.16,111698.14,111632.16,111656.53,4.40121
1756110600000,111656.53,111656.54,111553.8,111553.8,3.15262
1756110900000,111553.81,111802.72,111547.99,111700.01,4.89753
1756111200000,111700.01,111719.61,111642.42,111651.3,0.8587
1756111500000,111568.48,111658.33,111537.08,111617.14,0.2893
1756111800000,111626.0,111682.56,111596.85,111660.01,0.73837
1756112100000,111660.0,111660.0,111416.86,111424.79,1.12487
1756112400000,111424.79,111464.11,111394.7,111394.7,0.49175
1756112700000,111394.7,111394.7,111264.5,111264.5,0.46676
1756113000000,111264.5,111330.35,111264.49,111306.0,0.65894
1756116900000,111660.85,111720.0,111365.33,111408.83,91.31874
1756117200000,111408.83,111459.38,111322.31,111335.87,66.15418
1756117500000,111336.0,111370.74,111080.0,111224.94,209.50278
1756135200000,112257.77,112406.42,112231.75,112388.28,65.95879
1756135500000,112388.28,112580.0,112388.28,112453.97,88.32025
1756135800000,112453.97,112531.15,112400.0,112467.03,77.52508
1756136100000,112467.03,112501.14,112252.39,112373.92,57.43037
1756136400000,112373.91,112433.91,112214.22,112426.47,41.93142
1756137600000,112200.65,112236.0,112022.0,112175.0,142.50047
1756137900000,112175.0,112375.0,112160.0,112357.16,56.42894
1756138200000,112357.16,112584.0,112353.15,112580.01,57.56526
1756138500000,112580.01,112809.61,112580.0,112656.42,112.14277
1756138800000,112656.42,112937.26,112656.42,112814.53,66.34477
1756139100000,112814.53,112845.99,112633.37,112635.42,76.40144
1756139400000,112635.41,112710.81,112560.15,112650.01,48.78003
1756140000000,112788.22,112821.22,112661.63,112708.13,31.25749
1756140300000,112708.13,112797.14,112661.63,112682.93,36.28984
