open_time,open,high,low,close,volume,close_time,qav,trades,tb_base,tb_quote,ignore,timestamp,returns,sma_fast,sma_slow,ema_200,volatility,momentum,rsi,macd,macd_signal,atr,future_return,label
1757604600000,114395.23,114504.07,114395.23,114498.68,2.32422,1757604899999,265995.84506590,202,1.57541000,180291.60342650,0,2025-09-11 15:30:00,0.0009042334278943631,114495.15999999999,114392.58476190477,113980.03944304933,0.0014572477718154142,-47.59000000001106,41.27525453373651,121.46189876324206,125.51772724958131,6673.608571428572,-0.0027647480302829264,-1
1757925600000,115387.0,115769.27,115255.67,115255.67,3.87332,1757925899999,446665.68223990,231,1.64549000,189762.28791440,0,2025-09-15 08:40:00,-0.0012074179990467782,115540.75555555554,115793.96952380954,115734.98406134438,0.0010474253557373428,-503.3099999999977,58.426928022092994,-184.21068018062215,-146.86079867440674,199.77285714285765,-0.003728927175556729,-1
1758032700000,115163.89,115163.9,114972.29,115010.13,2.26384,1758032999999,260459.66444040,103,1.16096000,133604.96594880,0,2025-09-16 14:25:00,-0.0013351407285737693,115066.64222222223,115248.12952380953,115394.35143331267,0.000986151066157175,-5.349999999991269,39.300512676313545,-94.51789357258531,-77.3742519706713,496.0185714285721,0.00222780375954712,1
1757425500000,112861.78,112932.18,112791.56,112857.74,4.22048,1757425799999,476301.12277740,172,2.70779000,305591.41177280,0,2025-09-09 13:45:00,-3.579599754666152e-05,112744.46,112710.44333333333,112439.3123482114,0.0007890006256483685,36.820000000006985,65.10727260242335,27.628941411880078,-1.0085199507465044,4769.224999999998,-0.003837929060071521,-1
1757288400000,111399.99,111405.84,111363.28,111405.84,1.73648,1757288699999,193408.30364420,104,0.44049000,49060.25175030,0,2025-09-07 23:40:00,9.56953433712826e-05,111384.69444444444,111274.99666666667,111080.9879283344,0.0005896620317055851,-68.15000000000873,66.95746434289846,66.43933553213719,49.195933156571144,101.1585714285715,-0.0032621270123720514,-1
1757951100000,114691.56,114692.24,114580.0,114623.26,5.07004,1757951399999,581065.74940910,150,2.48144000,284376.99056060,0,2025-09-15 15:45:00,-0.0005955102537623658,114609.94444444444,114699.81809523811,115204.63938549328,0.0011688345957803243,-53.470000000001164,52.230122818189685,-41.70939596786047,-45.7133128577313,147.48428571428667,0.0020249816660249387,1
1757727000000,116001.01,116049.85,115999.99,116041.15,1.64031,1757727299999,190321.70533180,202,0.72430000,84040.15275990,0,2025-09-13 01:30:00,0.0002717878051836653,116159.74111111111,116114.16904761904,115740.72045236865,0.00041119725165234585,-125.45000000001164,57.734412184427285,10.222544309173827,26.732311955263476,188.2800000000009,-0.0023857054157081503,-1
1758043500000,116707.91,116779.31,116607.62,116759.99,1.01983,1758043799999,119000.87032330,100,0.24817000,28962.18252460,0,2025-09-16 17:25:00,0.00036506988076667746,116343.21111111112,116012.64095238096,115486.5203845917,0.0010416020004068204,415.6000000000058,58.651658483928856,331.7529458422505,254.0591226801319,619.2992857142827,-0.0023291368901282583,-1
1757924100000,115500.01,115699.99,115444.56,115662.86,3.26346,1757924399999,377178.19899370,127,1.77008000,204640.94703580,0,2025-09-15 08:15:00,0.0011967147086668906,115677.65666666668,115946.01285714286,115745.51377122811,0.0009748925382824072,-143.75,46.24867624282878,-163.16074129495246,-113.98501557218256,214.47214285714082,-0.003520490501445317,-1
1758000000000,115666.11,115669.43,115560.0,115596.01,4.95511,1758000299999,572924.24768710,138,3.47808000,402179.12448340,0,2025-09-16 05:20:00,-0.0003899132747786638,115573.37333333335,115404.03333333333,115239.02406296754,0.0009086215158132122,36.50999999999476,41.00432369394997,122.85822743522294,89.17969988331599,208.1264285714299,0.002115211416034324,1
1757419200000,112415.17,112531.6,111803.18,112531.6,3.95958,1757419499999,443985.53006960,118,0.82735000,93038.22407050,0,2025-09-09 12:00:00,0.0010358033560597946,112587.57111111112,112680.37428571428,112375.56421610356,0.0006564079109547989,-54.09999999999127,70.16075159508691,-94.63925296656089,-77.3367875114904,133.50285714285772,0.00220578042078845,1
1757600100000,114185.07,114185.07,113969.99,114032.44,5.00679,1757600399999,571312.11065440,323,0.58214000,66390.50363040,0,2025-09-11 14:15:00,-0.001336689639022004,114174.11222222222,113971.90142857144,113904.49777217847,0.0017473859322169178,-601.7399999999907,38.40958423592423,63.61772586261213,30.974796537961684,329.35571428571296,0.004538620764407142,1
1757921700000,115915.25,116010.1,115815.31,115841.32,6.44375,1757921999999,747104.53432770,88,2.28167000,264505.66329260,0,2025-09-15 07:35:00,-0.0006377073454706395,116098.34111111112,116267.47476190477,115753.01319221836,0.0009194329616728586,-489.4399999999878,51.902173912935524,-45.38347765644721,15.317886672363146,802.905000000003,-0.0030245684355116875,-1
1757778900000,115736.46,115768.69,115720.32,115768.69,1.98937,1757779199999,230293.77701440,129,0.11940000,13817.64739030,0,2025-09-13 15:55:00,0.00027847749965737023,115769.27333333333,115811.19380952383,115843.37487312903,0.0004563320174688539,87.16000000000349,37.499270044325804,-34.678681471719756,-28.664008974700753,70.94285714285694,-0.0023372467979037026,-1
1757229300000,110510.99,110522.93,110465.59,110465.6,2.03203,1757229599999,224530.87618630,98,1.04862000,115884.27076670,0,2025-09-07 07:15:00,-0.0004106379293712381,110507.65333333335,110569.88761904763,110498.14926981379,0.0002686231869635609,-38.54999999998836,39.61226595858122,-32.562033561916905,-20.749137631731436,36.427142857141526,0.0030493655943568676,1
